word|level
hobby|A1
holiday|A1
home|A1
homework|A1
hope|A1
horse|A1
hospital|A1
hot|A1
hotel|A1
hour|A1
house|A1
how|A1
however|A1
hundred|A1
hungry|A1
husband|A1
I|A1
ice|A1
ice cream|A1
idea|A1
if|A1
imagine|A1
important|A1
improve|A1
in|A1
include|A1
information|A1
interest|A1
interested|A1
interesting|A1
internet|A1
interview|A1
into|A1
introduce|A1
island|A1
it|A1
its|A1
jacket|A1
January|A1
jeans|A1
job|A1
join|A1
journey|A1
juice|A1
July|A1
June|A1
just|A1
keep|A1
key|A1
kilometre|A1
kind|A1
kitchen|A1
know|A1
land|A1
language|A1
large|A1
last|A1
late|A1
later|A1
laugh|A1
learn|A1
leave|A1
left|A1
leg|A1
lesson|A1
let|A1
letter|A1
library|A1
lie|A1
life|A1
light|A1
like|A1
line|A1
lion|A1
list|A1
listen|A1
little|A1
live|A1
local|A1
long|A1
look|A1
lose|A1
lot|A1
love|A1
lunch|A1
machine|A1
magazine|A1
main|A1
make|A1
man|A1
many|A1
map|A1
March|A1
market|A1
married|A1
match|A1
May|A1
maybe|A1
me|A1
meal|A1
mean|A1
meaning|A1
meat|A1
meet|A1
meeting|A1
member|A1
menu|A1
message|A1
metre|A1
midnight|A1
mile|A1
milk|A1
million|A1
minute|A1
miss|A1
mistake|A1
model|A1
modern|A1
moment|A1
Monday|A1
money|A1
month|A1
more|A1
morning|A1
most|A1
mother|A1
mountain|A1
mouse|A1
mouth|A1
move|A1
movie|A1
much|A1
mum|A1
museum|A1
music|A1
must|A1
my|A1
name|A1
natural|A1
near|A1
need|A1
negative|A1
neighbour|A1
never|A1
new|A1
news|A1
newspaper|A1
next|A1
next to|A1
nice|A1
night|A1
nine|A1
nineteen|A1
ninety|A1
no|A1
no one|A1
nobody|A1
north|A1
nose|A1
not|A1
note|A1
nothing|A1
November|A1
now|A1
number|A1
nurse|A1
object|A1
o'clock|A1
October|A1
of|A1
off|A1
office|A1
often|A1
oh|A1
OK|A1
old|A1
on|A1
once|A1
one|A1
onion|A1
online|A1
only|A1
open|A1
opinion|A1
opposite|A1
or|A1
orange|A1
order|A1
other|A1
our|A1
out|A1
outside|A1
over|A1
own|A1
page|A1
paint|A1
painting|A1
pair|A1
paper|A1
paragraph|A1
parent|A1
park|A1
part|A1
partner|A1
party|A1
passport|A1
past|A1
pay|A1
pen|A1
pencil|A1
people|A1
pepper|A1
perfect|A1
period|A1
person|A1
personal|A1
phone|A1
photo|A1
photograph|A1
phrase|A1
piano|A1
picture|A1
piece|A1
pig|A1
pink|A1
place|A1
plan|A1
plane|A1
plant|A1
play|A1
player|A1
please|A1
point|A1
police|A1
policeman|A1
pool|A1
poor|A1
popular|A1
positive|A1
possible|A1
post|A1
potato|A1
pound|A1
practice|A1
practise|A1
prefer|A1
prepare|A1
present|A1
pretty|A1
price|A1
probably|A1
problem|A1
product|A1
programme|A1
project|A1
purple|A1
put|A1
quarter|A1
question|A1
quick|A1
quickly|A1
quiet|A1
quite|A1
radio|A1
rain|A1
read|A1
reader|A1
reading|A1
ready|A1
real|A1
really|A1
reason|A1
red|A1
relax|A1
remember|A1
repeat|A1
report|A1
restaurant|A1
result|A1
return|A1
rice|A1
rich|A1
ride|A1
right|A1
river|A1
road|A1
room|A1
routine|A1
rule|A1
run|A1
sad|A1
salad|A1
salt|A1
same|A1
sandwich|A1
Saturday|A1
say|A1
school|A1
science|A1
scientist|A1
sea|A1
second|A1
section|A1
see|A1
sell|A1
send|A1
sentence|A1
September|A1
seven|A1
seventeen|A1
seventy|A1
share|A1
she|A1
sheep|A1
shirt|A1
shoe|A1
shop|A1
shopping|A1
short|A1
should|A1
show|A1
shower|A1
sick|A1
similar|A1
sing|A1
singer|A1
sister|A1
sit|A1
situation|A1
six|A1
sixteen|A1
sixty|A1
skill|A1
skirt|A1
sleep|A1
slow|A1
small|A1
snake|A1
snow|A1
so|A1
some|A1
somebody|A1
someone|A1
something|A1
sometimes|A1
son|A1
song|A1
soon|A1
sorry|A1
sound|A1
soup|A1
south|A1
space|A1
speak|A1
special|A1
spell|A1
spelling|A1
spend|A1
sport|A1
spring|A1
stand|A1
star|A1
start|A1
statement|A1
station|A1
stay|A1
still|A1
stop|A1
story|A1
street|A1
strong|A1
student|A1
study|A1
style|A1
subject|A1
success|A1
sugar|A1
summer|A1
sun|A1
Sunday|A1
supermarket|A1
sure|A1
sweater|A1
swim|A1
swimming|A1
table|A1
take|A1
talk|A1
tall|A1
taxi|A1
tea|A1
teach|A1
teacher|A1
team|A1
teenager|A1
telephone|A1
television|A1
tell|A1
ten|A1
tennis|A1
terrible|A1
test|A1
text|A1
than|A1
thank|A1
thanks|A1
that|A1
the|A1
theatre|A1
their|A1
them|A1
then|A1
there|A1
they|A1
thing|A1
think|A1
third|A1
thirsty|A1
thirteen|A1
thirty|A1
this|A1
thousand|A1
three|A1
through|A1
Thursday|A1
ticket|A1
time|A1
tired|A1
title|A1
to|A1
today|A1
together|A1
toilet|A1
tomato|A1
tomorrow|A1
tonight|A1
too|A1
tooth|A1
topic|A1
tourist|A1
town|A1
traffic|A1
train|A1
travel|A1
tree|A1
trip|A1
trousers|A1
true|A1
try|A1
T-shirt|A1
Tuesday|A1
turn|A1
TV|A1
twelve|A1
twenty|A1
twice|A1
two|A1
type|A1
umbrella|A1
uncle|A1
under|A1
understand|A1
university|A1
until|A1
up|A1
upstairs|A1
us|A1
use|A1
useful|A1
usually|A1
vacation|A1
vegetable|A1
very|A1
video|A1
village|A1
visit|A1
visitor|A1
wait|A1
waiter|A1
wake|A1
walk|A1
wall|A1
want|A1
warm|A1
wash|A1
watch|A1
water|A1
way|A1
we|A1
wear|A1
weather|A1
website|A1
Wednesday|A1
week|A1
weekend|A1
welcome|A1
well|A1
west|A1
what|A1
when|A1
where|A1
which|A1
white|A1
who|A1
why|A1
wife|A1
will|A1
win|A1
window|A1
wine|A1
winter|A1
with|A1
without|A1
woman|A1
wonderful|A1
word|A1
work|A1
worker|A1
world|A1
would|A1
write|A1
writer|A1
writing|A1
wrong|A1
yeah|A1
year|A1
yellow|A1
yes|A1
yesterday|A1
you|A1
young|A1
your|A1
yourself|A1 
